Date,Misc,CERN,"NCSA
https://en.wikipedia.org/wiki/Mosaic_(web_browser)","Netscape
https://en.wikipedia.org/wiki/Netscape_(web_browser)#Release_history",Mozilla,"Firefox
https://en.wikipedia.org/wiki/Firefox_early_version_history
https://en.wikipedia.org/wiki/Firefox_version_history","SeaMonkey
https://en.wikipedia.org/wiki/History_of_Mozilla_Application_Suite
https://en.wikipedia.org/wiki/SeaMonkey",Waterfox,"Pale Moon
https://www.palemoon.org/releasenotes-archived.shtml",Flock,Other Gecko-based,"Microsoft
https://en.wikipedia.org/wiki/Internet_Explorer_version_history
https://en.wikipedia.org/wiki/Microsoft_Edge","MacIE
https://en.wikipedia.org/wiki/Internet_Explorer_for_Mac",IEコンポーネントブラウザ,Flash、Web技術,"Opera
https://en.wikipedia.org/wiki/History_of_the_Opera_web_browser","Vivaldi
https://en.wikipedia.org/wiki/Vivaldi_(web_browser)","Konqueror
https://timeline.kde.org/","Apple
https://en.wikipedia.org/wiki/Safari_version_history","Google
https://support.google.com/chrome/a/answer/10314655?hl=ja
https://google.fandom.com/wiki/Chrome_version_history","Brave
https://en.wikipedia.org/wiki/Brave_(web_browser)#History"
1989-03-12,,ティム・バーナーズ＝リー、World Wide Webの原型となる提案を発表,,,,,,,,,,,,,,,,,,,
1990-11-12,,ティム・バーナーズ＝リー、World Wide Webの具体的な仕様の提案書を発表,,,,,,,,,,,,,,,,,,,
1990-12-20,,ティム・バーナーズ＝リー、世界初のWebページを公開,,,,,,,,,,,,,,,,,,,
1990-12-25,,"WorldWideWebリリース
世界最初のWebブラウザー
https://en.wikipedia.org/wiki/WorldWideWeb",,,,,,,,,,,,,,,,,,,
1991-05-14,,"Line Mode Browser
世界で2番目のブラウザー
https://en.wikipedia.org/wiki/Line_Mode_Browser",,,,,,,,,,,,,,,,,,,
1992-02-25,,,,,,,,,,,,,,,Macromedia設立,,,,,,
1992-03-09,"ViolaWWWリリース
スクリプトやスタイルシートに対応した世界最初のブラウザー
https://en.wikipedia.org/wiki/ViolaWWW",,,,,,,,,,,,,,,,,,,,
1992-11-15,,"libwwwリリース
WorldWideWebを元にしたC言語用ライブラリー
https://en.wikipedia.org/wiki/Libwww",,,,,,,,,,,,,,,,,,,
1993-01-23,,,NCSA Mosaic 0.5リリース,,,,,,,,,,,,,,,,,,
1993-04-22,,,NCSA Mosaic 1.0,,,,,,,,,,,,,,,,,,
